card, set, printTag, price, quantity
Power Invader,Absolute Powerforce,ABPF-EN009,0.96,23
Power Supplier,Absolute Powerforce,ABPF-EN007,0.87,16
Psi-Curse,Absolute Powerforce,ABPF-EN078,1.01,89
Reptilianne Gardna,Absolute Powerforce,ABPF-EN016,1.07,27
Reptilianne Servant,Absolute Powerforce,ABPF-EN015,1.02,2
Reptilianne Vaskii,Absolute Powerforce,ABPF-EN018,1.14,50
Ritual Cage,Absolute Powerforce,ABPF-EN060,1.08,68
Ritual of Destruction,Absolute Powerforce,ABPF-EN058,1.03,3
Rocket Pilder,Absolute Powerforce,ABPF-EN051,1.01,38
Rose Fairy,Absolute Powerforce,ABPF-EN013,0.99,94
Saber Hole,Absolute Powerforce,ABPF-EN073,3.46,46
Serpent Suppression,Absolute Powerforce,ABPF-EN066,1.0,95
Shield Wing,Absolute Powerforce,ABPF-EN095,5.44,47
Shield Worm,Absolute Powerforce,ABPF-EN099,1.11,64
Shreddder,Absolute Powerforce,ABPF-EN030,0.97,94
Skull Conductor,Absolute Powerforce,ABPF-EN098,1.07,64
Spiders' Lair,Absolute Powerforce,ABPF-EN054,0.98,21
Sun Dragon Inti,Absolute Powerforce,ABPF-EN042,3.16,0
Sun Dragon Inti,Absolute Powerforce,ABPF-EN042,3.14,91
Super-Nimble Mega Hamster,Absolute Powerforce,ABPF-EN083,2.7,91
The Dragon Dwelling in the Deep,Absolute Powerforce,ABPF-EN086,1.13,79
Tricular,Absolute Powerforce,ABPF-EN003,1.02,37
Tuner's Scheme,Absolute Powerforce,ABPF-EN074,1.03,96
Underground Arachnid,Absolute Powerforce,ABPF-EN096,3.4,92
Unicycular,Absolute Powerforce,ABPF-EN001,0.99,91
Variety Comes Out,Absolute Powerforce,ABPF-EN046,1.0,12
Viper's Rebirth,Absolute Powerforce,ABPF-EN049,1.72,39
Viser Des,Absolute Powerforce,ABPF-EN093,1.06,4
Weeping Idol,Absolute Powerforce,ABPF-EN021,1.03,31
Widespread Dud,Absolute Powerforce,ABPF-EN079,1.02,73
Witch of the Black Rose,Absolute Powerforce,ABPF-EN012,3.44,79
Witch of the Black Rose,Absolute Powerforce,ABPF-EN012,3.86,25
XX-Saber Emmersblade,Absolute Powerforce,ABPF-EN081,5.69,73
XX-Saber Garsem,Absolute Powerforce,ABPF-EN026,1.08,55
XX-Saber Hyunlei,Absolute Powerforce,ABPF-EN044,7.42,28
XX-Saber Hyunlei,Absolute Powerforce,ABPF-EN044,7.54,6
Zeman the Ape King,Absolute Powerforce,ABPF-EN097,1.49,51
Ally of Justice Core Destroyer,The Shining Darkness,TSHD-EN037,1.06,24
Ally of Justice Light Gazer,The Shining Darkness,TSHD-EN096,1.17,13
Archfiend Interceptor,The Shining Darkness,TSHD-EN007,1.03,61
Batteryman AAA,The Shining Darkness,TSHD-EN034,1.13,36
Batteryman Fuel Cell,The Shining Darkness,TSHD-EN035,2.36,72
Biofalcon,The Shining Darkness,TSHD-EN021,0.97,43
Bird of Roses,The Shining Darkness,TSHD-EN018,5.5,77
Black Thunder,The Shining Darkness,TSHD-EN066,1.06,44
Black-Winged Dragon,The Shining Darkness,TSHD-EN040,3.08,8
Black-Winged Dragon,The Shining Darkness,TSHD-EN040,3.11,53
Black-Winged Dragon,The Shining Darkness,TSHD-EN040,87.56,16
Black-Winged Strafe,The Shining Darkness,TSHD-EN045,1.03,84
Blackwing - Bombardment,The Shining Darkness,TSHD-EN065,1.04,58
Blackwing - Ghibli the Searing Wind,The Shining Darkness,TSHD-EN001,1.04,64
Blackwing - Gust the Backblast,The Shining Darkness,TSHD-EN002,1.06,18
Blossom Bombardment,The Shining Darkness,TSHD-EN074,1.04,24
Card Breaker,The Shining Darkness,TSHD-EN005,1.01,73
Cards for Black Feathers,The Shining Darkness,TSHD-EN046,1.6,41
Cards for Black Feathers,The Shining Darkness,TSHD-EN046,1.59,66
Changer Synchron,The Shining Darkness,TSHD-EN004,1.01,24
Chaos Goddess,The Shining Darkness,TSHD-EN044,16.62,8
Chaos King Archfiend,The Shining Darkness,TSHD-EN041,3.61,65
Chaos King Archfiend,The Shining Darkness,TSHD-EN041,3.44,2
Chaos Trap Hole,The Shining Darkness,TSHD-EN080,1.22,48
Cherry Inmato,The Shining Darkness,TSHD-EN022,1.11,57
Core Overclock,The Shining Darkness,TSHD-EN087,1.2,14
Corridor of Agony,The Shining Darkness,TSHD-EN062,1.58,11
Crevice Into the Different Dimension,The Shining Darkness,TSHD-EN078,1.01,84
Dawn of the Herald,The Shining Darkness,TSHD-EN059,1.6,25
Delta Tri,The Shining Darkness,TSHD-EN030,1.05,5
Dragon Laser,The Shining Darkness,TSHD-EN053,0.97,25
Dread Dragon,The Shining Darkness,TSHD-EN008,1.66,56
Fairy Archer,The Shining Darkness,TSHD-EN020,1.16,41
Flare Resonator,The Shining Darkness,TSHD-EN010,1.1,98
Genex Controller,The Shining Darkness,TSHD-EN090,1.33,65
Genex Neutron,The Shining Darkness,TSHD-EN097,2.54,99
Genex Searcher,The Shining Darkness,TSHD-EN092,1.05,57
Genex Undine,The Shining Darkness,TSHD-EN091,2.19,32
Herald of Perfection,The Shining Darkness,TSHD-EN039,4.66,74
Herald of Perfection,The Shining Darkness,TSHD-EN039,4.64,79
Hunter of Black Feathers,The Shining Darkness,TSHD-EN038,0.98,65
Hydro Genex,The Shining Darkness,TSHD-EN095,1.12,12
Infernity Barrier,The Shining Darkness,TSHD-EN089,12.18,80
Infernity Beetle,The Shining Darkness,TSHD-EN014,3.42,40
Infernity Break,The Shining Darkness,TSHD-EN069,1.09,63
Infernity Doom Dragon,The Shining Darkness,TSHD-EN042,7.76,36
Infernity Doom Dragon,The Shining Darkness,TSHD-EN042,7.55,21
Infernity Inferno,The Shining Darkness,TSHD-EN071,1.12,36
Infernity Launcher,The Shining Darkness,TSHD-EN048,2.73,40
Infernity Randomizer,The Shining Darkness,TSHD-EN013,1.05,19
Infernity Reflector,The Shining Darkness,TSHD-EN068,1.01,75
Intercept Wave,The Shining Darkness,TSHD-EN050,1.25,36
Intercept Wave,The Shining Darkness,TSHD-EN050,1.22,88
Key Mouse,The Shining Darkness,TSHD-EN036,1.17,22
Koa'ki Meiru Prototype,The Shining Darkness,TSHD-EN082,1.07,51
Koa'ki Meiru Sandman,The Shining Darkness,TSHD-EN028,1.06,27
Koa'ki Meiru Shield,The Shining Darkness,TSHD-EN077,0.98,23
Leeching the Light,The Shining Darkness,TSHD-EN061,1.04,95
Lyna the Light Charmer,The Shining Darkness,TSHD-EN024,1.57,92
Magic Triangle of the Ice Barrier,The Shining Darkness,TSHD-EN057,1.17,96
Magidog,The Shining Darkness,TSHD-EN023,1.05,84
Memory Crush King,The Shining Darkness,TSHD-EN029,1.02,69
Morphtronic Vacuumen,The Shining Darkness,TSHD-EN017,1.06,8
Morphtronics, Scramble!,The Shining Darkness,TSHD-EN075,1.03,44
Nimble Sunfish,The Shining Darkness,TSHD-EN084,5.21,40
Phantom Hand,The Shining Darkness,TSHD-EN072,1.06,64
Power Frame,The Shining Darkness,TSHD-EN063,1.11,72
Pyramid of Wonders,The Shining Darkness,TSHD-EN051,1.1,35
Revival Rose,The Shining Darkness,TSHD-EN016,2.16,99
Ronintoadin,The Shining Darkness,TSHD-EN033,4.01,67
Saber Vault,The Shining Darkness,TSHD-EN086,5.08,29
Snyffus,The Shining Darkness,TSHD-EN083,4.04,50
Splendid Rose,The Shining Darkness,TSHD-EN043,6.3,46
Splendid Rose,The Shining Darkness,TSHD-EN043,5.03,76
Spore,The Shining Darkness,TSHD-EN019,1.12,36
Synchro Ejection,The Shining Darkness,TSHD-EN079,1.07,80
Synchro Magnet,The Shining Darkness,TSHD-EN011,1.02,1
Testudo erat Numen,The Shining Darkness,TSHD-EN032,1.44,19
Trigon,The Shining Darkness,TSHD-EN031,1.04,24
Wattcube,The Shining Darkness,TSHD-EN054,1.18,32
Wattfox,The Shining Darkness,TSHD-EN026,1.05,26
Wattgiraffe,The Shining Darkness,TSHD-EN025,10.15,40
Wattwoodpecker,The Shining Darkness,TSHD-EN027,1.0,51
Wave-Motion Inferno,The Shining Darkness,TSHD-EN088,3.43,63
Worm Call,The Shining Darkness,TSHD-EN056,1.04,31
X-Saber Pashuul,The Shining Darkness,TSHD-EN094,1.1,75
XX-Saber Boggart Knight,The Shining Darkness,TSHD-EN000,1.99,2
XX-Saber Darksoul,The Shining Darkness,TSHD-EN081,1.85,13
XX-Saber Darksoul,The Shining Darkness,TSHD-EN081,1.91,21
ZERO-MAX,The Shining Darkness,TSHD-EN047,1.41,60
Ally of Justice Cyclone Creator,Duelist Revolution,DREV-EN092,1.79,59
Amazoness Fighting Spirit,Duelist Revolution,DREV-EN054,1.7,65
Amazoness Queen,Duelist Revolution,DREV-EN032,7.68,23
Amazoness Sage,Duelist Revolution,DREV-EN030,1.06,70
Amazoness Scouts,Duelist Revolution,DREV-EN081,1.52,82
Amazoness Shamanism,Duelist Revolution,DREV-EN088,2.13,51
Amazoness Village,Duelist Revolution,DREV-EN053,1.11,23
Amazoness Willpower,Duelist Revolution,DREV-EN072,2.9,18
Ambitious Gofer,Duelist Revolution,DREV-EN036,1.0,27
Anti-Magic Prism,Duelist Revolution,DREV-EN078,1.01,12
Battle Instinct,Duelist Revolution,DREV-EN064,1.0,97
Beast Rage,Duelist Revolution,DREV-EN056,0.97,20
Bicorn Re'em,Duelist Revolution,DREV-EN013,1.0,51
Blind Spot Strike,Duelist Revolution,DREV-EN045,1.03,99
Chain Whirlwind,Duelist Revolution,DREV-EN069,0.99,30
Chivalry,Duelist Revolution,DREV-EN079,1.84,35
Chivalry,Duelist Revolution,DREV-EN079,1.83,38
D.D. Destroyer,Duelist Revolution,DREV-EN083,1.05,19
Damage Eater,Duelist Revolution,DREV-EN004,1.03,69
Dark Desertapir,Duelist Revolution,DREV-EN084,1.06,54
Dash Warrior,Duelist Revolution,DREV-EN003,0.84,94
Delta Flyer,Duelist Revolution,DREV-EN016,1.95,43
Desperate Tag,Duelist Revolution,DREV-EN063,1.02,24
Double Cyclone,Duelist Revolution,DREV-EN046,1.13,82
Dragon Knight Draco-Equiste,Duelist Revolution,DREV-EN038,1.31,90
Dragon Knight Draco-Equiste,Duelist Revolution,DREV-EN038,1.27,24
Dragon Knight Draco-Equiste,Duelist Revolution,DREV-EN038,28.31,28
Earthquake Giant,Duelist Revolution,DREV-EN001,1.01,50
Fabled Raven,Duelist Revolution,DREV-EN091,7.33,36
Flamvell Archer,Duelist Revolution,DREV-EN095,1.05,96
Flamvell Fiend,Duelist Revolution,DREV-EN096,0.97,44
Flamvell Poun,Duelist Revolution,DREV-EN094,1.05,44
Genex Power Planner,Duelist Revolution,DREV-EN098,1.01,37
Guts of Steel,Duelist Revolution,DREV-EN086,0.89,11
Horn of the Phantom Beast,Duelist Revolution,DREV-EN075,1.1,90
Hypnocorn,Duelist Revolution,DREV-EN018,1.04,31
Landoise's Luminous Moss,Duelist Revolution,DREV-EN052,1.0,53
Light of Destruction,Duelist Revolution,DREV-EN080,1.01,42
Lightning Tricorn,Duelist Revolution,DREV-EN042,1.63,84
Lightning Tricorn,Duelist Revolution,DREV-EN042,1.65,23
Lock Cat,Duelist Revolution,DREV-EN033,1.05,85
Miracle Synchro Fusion,Duelist Revolution,DREV-EN057,1.31,89
Miracle's Wake,Duelist Revolution,DREV-EN093,2.22,72
Monoceros,Duelist Revolution,DREV-EN010,1.0,29
Mystical Refpanel,Duelist Revolution,DREV-EN090,12.01,74
Naturia Bamboo Shoot,Duelist Revolution,DREV-EN029,4.95,19
Naturia Bamboo Shoot,Duelist Revolution,DREV-EN029,5.17,23
Naturia Beans,Duelist Revolution,DREV-EN028,1.11,10
Naturia Forest,Duelist Revolution,DREV-EN051,1.06,82
Naturia Mosquito,Duelist Revolution,DREV-EN027,1.06,46
Naturia Pineapple,Duelist Revolution,DREV-EN082,1.64,32
Paradox Fusion,Duelist Revolution,DREV-EN076,1.58,74
Parallel Selection,Duelist Revolution,DREV-EN066,0.99,85
Pestilence,Duelist Revolution,DREV-EN058,1.02,95
Playful Possum,Duelist Revolution,DREV-EN007,1.05,42
Psychic Nightmare,Duelist Revolution,DREV-EN085,4.0,74
Queen's Pawn,Duelist Revolution,DREV-EN073,1.88,80
Reanimation Wave,Duelist Revolution,DREV-EN067,1.04,42
Scrap Archfiend,Duelist Revolution,DREV-EN000,1.55,17
Scrap Beast,Duelist Revolution,DREV-EN021,1.17,39
Scrap Chimera,Duelist Revolution,DREV-EN019,4.2,98
Scrap Dragon,Duelist Revolution,DREV-EN043,2.77,88
Scrap Dragon,Duelist Revolution,DREV-EN043,2.71,76
Scrap Goblin,Duelist Revolution,DREV-EN020,0.86,34
Scrap Hunter,Duelist Revolution,DREV-EN022,1.02,6
Scrap Rage,Duelist Revolution,DREV-EN070,0.98,17
Scrap Sheen,Duelist Revolution,DREV-EN049,1.02,99
Scrapstorm,Duelist Revolution,DREV-EN048,1.2,0
Scrapyard,Duelist Revolution,DREV-EN047,3.09,96
Stronghold Guardian,Duelist Revolution,DREV-EN006,0.99,9
Stygian Street Patrol,Duelist Revolution,DREV-EN099,5.25,27
Summoning Curse,Duelist Revolution,DREV-EN061,1.35,67
Super Rush Recklessly,Duelist Revolution,DREV-EN089,1.16,76
Synchro Fusionist,Duelist Revolution,DREV-EN035,1.22,68
Thunder Unicorn,Duelist Revolution,DREV-EN040,1.75,15
Thunder Unicorn,Duelist Revolution,DREV-EN040,2.67,71
Trident Warrior,Duelist Revolution,DREV-EN015,1.23,1
Ultimate Axon Kicker,Duelist Revolution,DREV-EN039,2.09,86
Uni-Horned Familiar,Duelist Revolution,DREV-EN009,1.01,60
Unibird,Duelist Revolution,DREV-EN012,1.06,51
Unicorn Beacon,Duelist Revolution,DREV-EN055,1.1,75
Voltic Bicorn,Duelist Revolution,DREV-EN041,2.18,50
Voltic Bicorn,Duelist Revolution,DREV-EN041,1.94,11
Wattbetta,Duelist Revolution,DREV-EN024,1.03,48
Wattchimera,Duelist Revolution,DREV-EN044,3.35,70
Wattchimera,Duelist Revolution,DREV-EN044,3.37,99
Wattcine,Duelist Revolution,DREV-EN050,0.98,39
Wattlemur,Duelist Revolution,DREV-EN025,0.98,80
Wattpheasant,Duelist Revolution,DREV-EN026,1.06,16
Wiseman's Chalice,Duelist Revolution,DREV-EN060,1.48,97
Ally of Justice Thousand Arms,Starstrike Blast,STBL-EN093,0.97,0
Ally of Justice Unknown Crusher,Starstrike Blast,STBL-EN094,0.97,45
Anarchist Monk Ranshin,Starstrike Blast,STBL-EN036,1.11,26
Archfiend Empress,Starstrike Blast,STBL-EN000,4.21,56
Attack Gainer,Starstrike Blast,STBL-EN014,2.24,23
Axe of Fools,Starstrike Blast,STBL-EN058,1.1,76
Barkion's Bark,Starstrike Blast,STBL-EN052,1.02,24
Blackback,Starstrike Blast,STBL-EN065,1.59,70
Blackwing - Abrolhos the Megaquake,Starstrike Blast,STBL-EN017,1.07,89
Blackwing - Aurora the Northern Lights,Starstrike Blast,STBL-EN016,1.03,20
Blackwing - Boobytrap,Starstrike Blast,STBL-EN068,1.07,8
Creation Resonator,Starstrike Blast,STBL-EN013,3.72,78
Cursed Bill,Starstrike Blast,STBL-EN059,1.02,52
D2 Shield,Starstrike Blast,STBL-EN063,2.2,79
Dance Princess of the Ice Barrier,Starstrike Blast,STBL-EN033,6.2,60
Darkfall,Starstrike Blast,STBL-EN080,1.58,71
Defenders Intersect,Starstrike Blast,STBL-EN066,1.0,49
Delg the Dark Monarch,Starstrike Blast,STBL-EN037,7.21,94
Different Dimension Ground,Starstrike Blast,STBL-EN077,2.62,50
Dragunity Knight - Gae Dearg,Starstrike Blast,STBL-EN098,14.48,50
Dragunity Knight - Vajrayana,Starstrike Blast,STBL-EN097,3.72,74
Droll & Lock Bird,Starstrike Blast,STBL-EN082,4.07,15
Exterio's Fang,Starstrike Blast,STBL-EN075,0.98,38
Extra Veiler,Starstrike Blast,STBL-EN011,1.08,80
Formula Synchron,Starstrike Blast,STBL-EN041,2.65,57
Gaia Drake, the Universal Force,Starstrike Blast,STBL-EN039,6.38,84
Gaia Drake, the Universal Force,Starstrike Blast,STBL-EN039,5.07,36
Genex Ally Axel,Starstrike Blast,STBL-EN099,10.9,31
Genex Ally Duradark,Starstrike Blast,STBL-EN095,3.88,26
Glow-Up Bulb,Starstrike Blast,STBL-EN018,9.23,44
Glow-Up Bulb,Starstrike Blast,STBL-EN018,21.37,2
Golden Gearbox,Starstrike Blast,STBL-EN047,0.97,11
Gravity Collapse,Starstrike Blast,STBL-EN067,2.32,58
Half Counter,Starstrike Blast,STBL-EN070,1.0,6
Heat Wave,Starstrike Blast,STBL-EN061,4.99,29
Karakuri Showdown Castle,Starstrike Blast,STBL-EN046,1.11,75
Karakuri Spider,Starstrike Blast,STBL-EN090,1.02,79
Karakuri Trick House,Starstrike Blast,STBL-EN071,1.04,4
Koa'ki Meiru Wall,Starstrike Blast,STBL-EN087,1.2,91
Koa'ki Ring,Starstrike Blast,STBL-EN056,0.99,0
Leodrake's Mane,Starstrike Blast,STBL-EN053,1.02,17
Mirror Ladybug,Starstrike Blast,STBL-EN002,1.1,50
Mirror of the Ice Barrier,Starstrike Blast,STBL-EN055,1.15,35
Mischief of the Yokai,Starstrike Blast,STBL-EN089,1.99,64
Mischief of the Yokai,Starstrike Blast,STBL-EN089,1.85,72
Naturia Cherries,Starstrike Blast,STBL-EN030,10.33,81
Naturia Stag Beetle,Starstrike Blast,STBL-EN032,1.0,50
Necro Linker,Starstrike Blast,STBL-EN005,1.03,16
Needle Soldier,Starstrike Blast,STBL-EN004,0.97,40
Power Breaker,Starstrike Blast,STBL-EN010,1.07,78
Power Giant,Starstrike Blast,STBL-EN007,3.21,33
Power Giant,Starstrike Blast,STBL-EN007,3.28,38
Powersink Stone,Starstrike Blast,STBL-EN078,1.24,31
Psi-Blocker,Starstrike Blast,STBL-EN086,12.4,99
Red Screen,Starstrike Blast,STBL-EN064,1.03,40
Reed Butterfly,Starstrike Blast,STBL-EN003,1.06,13
Rescue Warrior,Starstrike Blast,STBL-EN006,1.04,92
Royal Knight of the Ice Barrier,Starstrike Blast,STBL-EN091,1.39,16
Scrap Crash,Starstrike Blast,STBL-EN073,1.01,0
Scrap Lube,Starstrike Blast,STBL-EN049,0.98,58
Scrap Mind Reader,Starstrike Blast,STBL-EN084,5.24,7
Scrap Soldier,Starstrike Blast,STBL-EN024,1.03,89
Scrap Twin Dragon,Starstrike Blast,STBL-EN044,8.66,22
Scrap Twin Dragon,Starstrike Blast,STBL-EN044,9.91,77
Shooting Star Dragon,Starstrike Blast,STBL-EN040,10.5,97
Shooting Star Dragon,Starstrike Blast,STBL-EN040,30.35,62
Shooting Star Dragon,Starstrike Blast,STBL-EN040,98.01,49
Skull Meister,Starstrike Blast,STBL-EN081,14.31,12
Spellstone Sorcerer Karood,Starstrike Blast,STBL-EN083,3.02,49
Star Siphon,Starstrike Blast,STBL-EN069,0.97,27
Supreme Arcanite Magician,Starstrike Blast,STBL-EN038,16.42,53
Supreme Arcanite Magician,Starstrike Blast,STBL-EN038,14.92,43
Swift Scarecrow,Starstrike Blast,STBL-EN001,1.14,50
Tyrant's Temper,Starstrike Blast,STBL-EN079,3.68,47
Vanity's Emptiness,Starstrike Blast,STBL-EN076,2.01,42
Vice Berserker,Starstrike Blast,STBL-EN008,0.97,60
Wattcastle,Starstrike Blast,STBL-EN050,1.12,77
Watthopper,Starstrike Blast,STBL-EN027,1.13,13
Wattjustment,Starstrike Blast,STBL-EN051,1.02,72
Wattkeeper,Starstrike Blast,STBL-EN074,0.97,35
Wattkiwi,Starstrike Blast,STBL-EN026,0.99,78
Wattsquirrel,Starstrike Blast,STBL-EN029,1.08,1
White Elephant's Gift,Starstrike Blast,STBL-EN062,1.13,33
Wightmare,Starstrike Blast,STBL-EN035,7.44,56
Ally of Justice Cosmic Gateway,Hidden Arsenal 2,HA02-EN022,1.08,54
Ally of Justice Enemy Catcher,Hidden Arsenal 2,HA02-EN020,1.04,3
Ally of Justice Field Marshal,Hidden Arsenal 2,HA02-EN030,1.16,6
Ally of Justice Nullfier,Hidden Arsenal 2,HA02-EN018,1.06,70
Ally of Justice Reverse Break,Hidden Arsenal 2,HA02-EN050,1.05,33
Ally of Justice Searcher,Hidden Arsenal 2,HA02-EN019,1.04,63
Ally of Justice Thunder Armor,Hidden Arsenal 2,HA02-EN021,1.06,97
Dai-sojo of the Ice Barrier,Hidden Arsenal 2,HA02-EN011,1.28,7
Dewloren, Tiger King of the Ice Barrier,Hidden Arsenal 2,HA02-EN027,6.66,80
Fabled Gallabas,Hidden Arsenal 2,HA02-EN033,1.11,11
Fabled Grimro,Hidden Arsenal 2,HA02-EN032,2.55,41
Fabled Valkyrus,Hidden Arsenal 2,HA02-EN056,4.24,8
Flamvell Baby,Hidden Arsenal 2,HA02-EN016,1.09,44
Flamvell Grunika,Hidden Arsenal 2,HA02-EN015,1.18,94
Genex Army,Hidden Arsenal 2,HA02-EN045,1.1,58
Genex Blastfan,Hidden Arsenal 2,HA02-EN043,1.11,26
Genex Furnace,Hidden Arsenal 2,HA02-EN005,1.03,77
Genex Recycled,Hidden Arsenal 2,HA02-EN044,1.05,97
Genex Solar,Hidden Arsenal 2,HA02-EN010,1.08,79
Genex Spare,Hidden Arsenal 2,HA02-EN007,1.05,66
Genex Turbine,Hidden Arsenal 2,HA02-EN008,1.06,1
Geo Genex,Hidden Arsenal 2,HA02-EN029,1.09,78
Geomancer of the Ice Barrier,Hidden Arsenal 2,HA02-EN047,1.08,63
Jurrac Monoloph,Hidden Arsenal 2,HA02-EN037,1.19,76
Jurrac Protops,Hidden Arsenal 2,HA02-EN035,1.12,79
Jurrac Tyrannus,Hidden Arsenal 2,HA02-EN038,2.07,85
Jurrac Velo,Hidden Arsenal 2,HA02-EN036,2.24,11
Medium of the Ice Barrier,Hidden Arsenal 2,HA02-EN012,2.53,68
Mist Valley Apex Avian,Hidden Arsenal 2,HA02-EN049,4.35,12
Mist Valley Baby Roc,Hidden Arsenal 2,HA02-EN013,2.33,0
Mist Valley Executor,Hidden Arsenal 2,HA02-EN014,1.06,75
Naturia Beast,Hidden Arsenal 2,HA02-EN026,5.33,36
Naturia Beetle,Hidden Arsenal 2,HA02-EN001,1.08,10
Naturia Cosmobeet,Hidden Arsenal 2,HA02-EN042,1.28,46
Naturia Leodrake,Hidden Arsenal 2,HA02-EN058,1.22,33
Naturia Rock,Hidden Arsenal 2,HA02-EN002,1.07,86
Naturia Rosewhip,Hidden Arsenal 2,HA02-EN041,2.44,90
Naturia Spiderfang,Hidden Arsenal 2,HA02-EN040,1.08,32
Naturia Vein,Hidden Arsenal 2,HA02-EN004,1.08,20
Pilgrim of the Ice Barrier,Hidden Arsenal 2,HA02-EN046,1.08,64
Thermal Genex,Hidden Arsenal 2,HA02-EN028,1.13,91
Windmill Genex,Hidden Arsenal 2,HA02-EN059,1.11,53
Worm Linx,Hidden Arsenal 2,HA02-EN023,1.06,95
Worm Millidith,Hidden Arsenal 2,HA02-EN024,1.04,72
Worm Noble,Hidden Arsenal 2,HA02-EN025,1.09,70
Worm Opera,Hidden Arsenal 2,HA02-EN052,1.05,99
Worm Prince,Hidden Arsenal 2,HA02-EN053,1.05,67
Worm Rakuyeh,Hidden Arsenal 2,HA02-EN055,1.05,42
Ally of Justice Decisive Armor,Hidden Arsenal 3,HA03-EN060,2.16,91
Ally of Justice Omni-Weapon,Hidden Arsenal 3,HA03-EN050,1.08,21
Ally of Justice Quarantine,Hidden Arsenal 3,HA03-EN051,1.21,63
Caravan of the Ice Barrier,Hidden Arsenal 3,HA03-EN021,1.09,71
Dewdark of the Ice Barrier,Hidden Arsenal 3,HA03-EN020,1.25,81
Dragunity Darkspear,Hidden Arsenal 3,HA03-EN034,1.1,89
Dragunity Dux,Hidden Arsenal 3,HA03-EN031,1.92,22
Dragunity Knight - Gae Bulg,Hidden Arsenal 3,HA03-EN057,2.49,40
Dragunity Legionnaire,Hidden Arsenal 3,HA03-EN032,1.07,1
Dragunity Phalanx,Hidden Arsenal 3,HA03-EN035,2.98,76
Fabled Ashenveil,Hidden Arsenal 3,HA03-EN037,1.07,17
Fabled Krus,Hidden Arsenal 3,HA03-EN002,4.01,15
Fabled Leviathan,Hidden Arsenal 3,HA03-EN026,1.36,25
Fabled Miztoji,Hidden Arsenal 3,HA03-EN005,1.06,27
Fabled Oltro,Hidden Arsenal 3,HA03-EN038,1.05,14
Fabled Ragin,Hidden Arsenal 3,HA03-EN058,2.08,92
Fabled Soulkius,Hidden Arsenal 3,HA03-EN004,2.2,84
Fabled Topi,Hidden Arsenal 3,HA03-EN003,1.07,93
Fabled Urustos,Hidden Arsenal 3,HA03-EN001,1.03,29
General Grunard of the Ice Barrier,Hidden Arsenal 3,HA03-EN049,2.04,68
Gungnir, Dragon of the Ice Barrier,Hidden Arsenal 3,HA03-EN030,5.78,92
Jurrac Brachis,Hidden Arsenal 3,HA03-EN008,1.24,44
Jurrac Guaiba,Hidden Arsenal 3,HA03-EN040,1.75,97
Jurrac Iguanon,Hidden Arsenal 3,HA03-EN007,1.0,45
Jurrac Ptera,Hidden Arsenal 3,HA03-EN006,1.28,97
Jurrac Spinos,Hidden Arsenal 3,HA03-EN009,1.25,4
Jurrac Stauriko,Hidden Arsenal 3,HA03-EN041,1.47,42
Jurrac Velphito,Hidden Arsenal 3,HA03-EN027,3.34,1
Locomotion R-Genex,Hidden Arsenal 3,HA03-EN029,1.14,87
Naturia Barkion,Hidden Arsenal 3,HA03-EN028,3.16,39
Naturia Cliff,Hidden Arsenal 3,HA03-EN012,2.02,75
Naturia Dragonfly,Hidden Arsenal 3,HA03-EN010,1.2,75
Naturia Fruitfly,Hidden Arsenal 3,HA03-EN043,1.14,0
Naturia Hydrangea,Hidden Arsenal 3,HA03-EN044,1.18,44
Naturia Sunflower,Hidden Arsenal 3,HA03-EN011,1.07,71
Naturia Tulip,Hidden Arsenal 3,HA03-EN013,1.1,58
R-Genex Accelerator,Hidden Arsenal 3,HA03-EN045,1.05,3
R-Genex Crusher,Hidden Arsenal 3,HA03-EN016,1.04,67
R-Genex Magma,Hidden Arsenal 3,HA03-EN017,1.02,15
R-Genex Oracle,Hidden Arsenal 3,HA03-EN046,1.04,78
R-Genex Overseer,Hidden Arsenal 3,HA03-EN015,1.06,37
R-Genex Turbo,Hidden Arsenal 3,HA03-EN014,1.04,56
R-Genex Ultimum,Hidden Arsenal 3,HA03-EN047,0.96,12
Samurai of the Ice Barrier,Hidden Arsenal 3,HA03-EN019,1.06,84
Shock Troops of the Ice Barrier,Hidden Arsenal 3,HA03-EN018,1.13,73
Spellbreaker of the Ice Barrier,Hidden Arsenal 3,HA03-EN048,1.09,61
Vindikite R-Genex,Hidden Arsenal 3,HA03-EN059,1.1,95
Worm Solid,Hidden Arsenal 3,HA03-EN022,1.04,90
Worm Tentacles,Hidden Arsenal 3,HA03-EN023,1.09,44
Worm Ugly,Hidden Arsenal 3,HA03-EN024,1.04,17
Worm Victory,Hidden Arsenal 3,HA03-EN025,1.14,56
Worm Warlord,Hidden Arsenal 3,HA03-EN053,1.06,60
Worm Xex,Hidden Arsenal 3,HA03-EN054,1.14,45
Worm Yagan,Hidden Arsenal 3,HA03-EN055,1.12,11
Worm Zero,Hidden Arsenal 3,HA03-EN056,1.17,99
Blackboost,Storm of Ragnarok,STOR-EN065,1.0,89
Blackwing - Boreas the Sharp,Storm of Ragnarok,STOR-EN007,1.04,73
Blackwing - Brisote the Tailwind,Storm of Ragnarok,STOR-EN008,1.01,13
Cosmic Compass,Storm of Ragnarok,STOR-EN001,1.25,44
Cyber Shield,Storm of Ragnarok,STOR-EN090,1.04,86
