Name,Type,Level,Race,Attribute,ATK,DEF
Mirror of the Ice Barrier,Spell Card,,Quick-Play,,,
Vylon Stigma,Effect Monster,4,Fairy,LIGHT,1600,1000
Fire Formation - Tensu,Spell Card,,Continuous,,,
Lady of the Lake,Tuner Monster,1,Aqua,LIGHT,200,1800
Sylvan Cherubsprout,Effect Monster,1,Plant,LIGHT,100,100
Guardian Ceal,Effect Monster,4,Pyro,FIRE,1700,1400
Daigusto Eguls,Synchro Monster,7,Psychic,WIND,2600,1800
Kid Guard,Trap Card,,Normal,,,
Cú Chulainn the Awakened,Ritual Effect Monster,4,Warrior,LIGHT,500,1000
Tour Guide From the Underworld,Effect Monster,3,Fiend,DARK,1000,600
Great Phantom Thief,Effect Monster,3,Spellcaster,EARTH,1000,1000
First of the Dragons,Fusion Monster,9,Dragon,DARK,2700,2000
Forbidden Dark Contract with the Swamp King,Spell Card,,Continuous,,,
Holograh,Normal Monster,3,Machine,EARTH,1100,700
Bujingi Pavo,Effect Monster,4,Winged Beast,LIGHT,1700,800
Earthbound Immortal Aslla piscu,Effect Monster,10,Winged Beast,DARK,2500,2500
Masked HERO Vapor,Fusion Monster,6,Warrior,WATER,2400,2000
Contact with the Aquamirror,Spell Card,,Normal,,,
Time Magic Hammer,Fusion Monster,2,Spellcaster,LIGHT,500,400
Barrier Statue of the Torrent,Effect Monster,4,Aqua,WATER,1000,1000
Bug Emergency,Trap Card,,Normal,,,
Amazoness Tiger,Effect Monster,4,Beast,EARTH,1100,1500
Gradius,Normal Monster,4,Machine,LIGHT,1200,800
Jurrac Guaiba,Effect Monster,4,Dinosaur,FIRE,1700,400
Neko Mane King,Effect Monster,1,Beast,EARTH,0,0
Frightfur Wolf,Fusion Monster,6,Fiend,DARK,2000,1500
Psychic Feel Zone,Spell Card,,Normal,,,
Super Hippo Carnival,Spell Card,,Quick-Play,,,
Hippo Token,Token,,Beast,,,
Hippo Token,Token,,Beast,,,
Hippo Token,Token,,Beast,,,
Hippo Token,Token,,Beast,,,
Saber Slash,Spell Card,,Normal,,,
Galaxy Serpent,Normal Tuner Monster,2,Dragon,LIGHT,1000,0
The Fang of Critias,Spell Card,,Normal,,,
Luster Dragon,Normal Monster,4,Dragon,WIND,1900,1600
Shien's Castle of Mist,Spell Card,,Field,,,
Xyz Universe,Trap Card,,Normal,,,
That Grass Looks Greener,Spell Card,,Normal,,,
Lancer Dragonute,Effect Monster,4,Dragon,DARK,1500,1800
Crystal Counter,Trap Card,,Normal,,,
Worm Hope,Flip Effect Monster,1,Reptile,LIGHT,800,1500
The Kaiju Files,Spell Card,,Continuous,,,
Lunalight Reincarnation Dance,Trap Card,,Normal,,,
Bujincident,Trap Card,,Normal,,,
Horus the Black Flame Dragon LV6,Effect Monster,6,Dragon,FIRE,2300,1600
Reinforced Space,Trap Card,,Normal,,,
Xyz Soul,Trap Card,,Normal,,,
Destructotron,Effect Monster,4,Psychic,EARTH,1600,400
Emperor of the Land and Sea,Normal Monster,5,Reptile,WATER,1800,1500
Darklord Superbia,Effect Monster,8,Fairy,DARK,2900,2400
TGX1-HL,Spell Card,,Quick-Play,,,
Invoked Elysium,Fusion Monster,10,Fairy,LIGHT,3200,4000
Quick-Span Knight,Tuner Monster,3,Machine,EARTH,1000,800
Lunalight Black Sheep,Effect Monster,2,Beast-Warrior,DARK,100,600
Dark Blade,Normal Monster,4,Warrior,DARK,1800,1500
Electric Snake,Effect Monster,3,Thunder,LIGHT,800,900
Dark Simorgh,Effect Monster,7,Winged Beast,DARK,2700,1000
Proof of Powerlessness,Trap Card,,Normal,,,
Cannon Soldier,Effect Monster,4,Machine,DARK,1400,1300
Naturia Fruitfly,Effect Monster,3,Insect,EARTH,800,1500
King of the Feral Imps,XYZ Monster,4,Reptile,DARK,2300,2000
Machine Angel Absolute Ritual,Spell Card,,Ritual,,,
Lunalight Blue Cat,Effect Monster,4,Beast-Warrior,DARK,1600,1200
Grave Protector,Effect Monster,4,Fiend,DARK,0,2000
Sky Scourge Enrise,Effect Monster,8,Fairy,LIGHT,2400,1500
Etoile Cyber,Effect Monster,4,Warrior,EARTH,1200,1600
Light Laser,Spell Card,,Equip,,,
Artifact Achilleshield,Effect Monster,5,Fairy,LIGHT,1500,2200
Fortissimo,Spell Card,,Continuous,,,
Kickfire,Trap Card,,Continuous,,,
Elemental HERO Air Neos,Fusion Monster,7,Warrior,WIND,2500,2000
Mutant Mindmaster,Effect Monster,6,Spellcaster,DARK,0,2500
Zoodiac Tigermortar,XYZ Monster,4,Beast-Warrior,EARTH,0,0
Outstanding Dog Marron,Effect Monster,1,Beast,LIGHT,100,100
Gamma the Magnet Warrior,Normal Monster,4,Rock,EARTH,1500,1800
Ritual Beast Steeds,Trap Card,,Normal,,,
Chaos Trap Hole,Trap Card,,Counter,,,
Reckoned Power,Trap Card,,Normal,,,
Blackwing - Elphin the Raven,Effect Monster,6,Winged Beast,DARK,2200,1200
Super Quantal Mech Beast Aeroboros,XYZ Monster,4,Machine,WIND,2200,2400
Gellenduo,Effect Monster,4,Fairy,LIGHT,1700,0
Protective Soul Ailin,Union Effect Monster,1,Fairy,LIGHT,0,0
Sylvan Bladefender,Effect Monster,4,Plant,EARTH,1900,700
Blast Asmodian,Effect Monster,3,Fiend,FIRE,1000,300
Xyz Change Tactics,Spell Card,,Continuous,,,
"30,000-Year White Turtle",Normal Monster,5,Aqua,WATER,1250,2100
Worm Xex,Effect Monster,4,Reptile,LIGHT,1800,1000
Raigeki Bottle,Trap Card,,Continuous,,,
Union Rider,Effect Monster,2,Machine,WIND,1000,1000
Spore,Tuner Monster,1,Plant,WIND,400,800
Sasuke Samurai 2,Effect Monster,1,Warrior,WIND,200,300
Beast of Talwar,Normal Monster,6,Fiend,DARK,2400,2150
Buster Dragon,Synchro Monster,8,Dragon,DARK,1200,2800
Gorgon Egg,Normal Monster,3,Fiend,DARK,300,1300
Barkion's Bark,Spell Card,,Normal,,,
Great Angus,Normal Monster,4,Beast,FIRE,1800,600
"Tytannial, Princess of Camellias",Effect Monster,8,Plant,WIND,2800,2600
Ancient Leaf,Spell Card,,Normal,,,
Laval Blaster,Effect Monster,4,Warrior,FIRE,1200,800
Madolche Magileine,Effect Monster,4,Spellcaster,EARTH,1400,1200
Goblin's Secret Remedy,Spell Card,,Normal,,,
Evigishki Mind Augus,Ritual Effect Monster,6,Aqua,WATER,2500,2000
B. Skull Dragon,Fusion Monster,9,Dragon,DARK,3200,2500
Instant Neo Space,Spell Card,,Equip,,,
Hunting Instinct,Trap Card,,Normal,,,
Flyfang,Effect Monster,3,Fish,WIND,1600,300
Bujingi Raven,Effect Monster,4,Winged Beast,LIGHT,1600,900
Different Dimension Capsule,Spell Card,,Normal,,,
Hieratic Seal of Banishment,Trap Card,,Normal,,,
Nin-Ken Dog,Normal Monster,4,Beast-Warrior,WIND,1800,1000
Gagaga Cowboy,XYZ Monster,4,Warrior,EARTH,1500,2400
Goblin Calligrapher,Normal Monster,1,Fiend,DARK,400,400
Dark Calling,Spell Card,,Normal,,,
Wind-Up Dog,Effect Monster,3,Beast,EARTH,1200,900
Delta Tri,Effect Monster,4,Machine,LIGHT,1200,1000
Shattered Axe,Trap Card,,Continuous,,,
People Running About,Normal Monster,2,Pyro,FIRE,600,600
Bolt Escargot,Normal Monster,5,Thunder,WATER,1400,1500
Scrounging Goblin,Effect Monster,4,Fiend,EARTH,1000,2000
Elephant Statue of Disaster,Effect Monster,3,Rock,EARTH,1500,0
"Zeradias, Herald of Heaven",Effect Monster,4,Fairy,LIGHT,2100,800
Hydro Pressure Cannon,Spell Card,,Equip,,,
Triangle Ecstasy Spark,Spell Card,,Normal,,,
Card Shuffle,Spell Card,,Continuous,,,
Commander of Swords,Trap Card,,Normal,,,
Harpie Lady Sisters,Effect Monster,6,Winged Beast,WIND,1950,2100
Deskbot Base,Spell Card,,Field,,,
Koa'ki Meiru Shield,Trap Card,,Normal,,,
Fabled Ashenveil,Effect Monster,4,Fiend,LIGHT,1600,1200
Inferno Reckless Summon,Spell Card,,Quick-Play,,,
World Suppression,Trap Card,,Normal,,,
Performapal Fireflux,Pendulum Effect Monster,4,Insect,LIGHT,1200,1600
Delta The Magnet Warrior,Effect Monster,4,Rock,EARTH,1600,1400
Trifortressops,Effect Monster,6,Machine,DARK,1600,2800
Wattwoodpecker,Effect Monster,3,Thunder,LIGHT,1000,100
Prime Material Dragon,Effect Monster,6,Dragon,LIGHT,2400,2000
Wind-Up Soldier,Effect Monster,4,Warrior,EARTH,1800,1200
Invoked Purgatrio,Fusion Monster,7,Fiend,FIRE,2300,2000
Legendary Ebon Steed,Spell Card,,Equip,,,
Legendary Maju Garzett,Effect Monster,8,Fiend,DARK,0,0
Super Quantum Blue Layer,Effect Monster,3,Psychic,WATER,1200,2000
Kozmourning,Trap Card,,Continuous,,,
"Freya, Spirit of Victory",Effect Monster,1,Fairy,LIGHT,100,100
Kozmoll Dark Lady,Effect Monster,5,Psychic,DARK,2200,1800
Gagaga Gardna,Effect Monster,4,Warrior,EARTH,1500,2000
Koa'ki Meiru Drago,Effect Monster,4,Dragon,WIND,1900,1600
Aqua Snake,Normal Monster,3,Aqua,WATER,1050,900
Artifact Sanctum,Trap Card,,Normal,,,
Frontline Observer,Effect Monster,4,Machine,EARTH,1000,1500
Tackle Crusader,Effect Monster,4,Rock,EARTH,1500,1800
Revival Rose,Effect Monster,4,Plant,DARK,1300,1300
Curse of Fiend,Spell Card,,Normal,,,
Leghul,Effect Monster,1,Insect,EARTH,300,350
Ojama Green,Normal Monster,2,Beast,LIGHT,0,1000
Dunames Dark Witch,Normal Monster,4,Fairy,LIGHT,1800,1050
Rare Metalmorph,Trap Card,,Continuous,,,
"Neo-Parshath, the Sky Paladin",Effect Monster,7,Fairy,LIGHT,2300,2000
Symphonic Warrior Guitaar,Pendulum Effect Monster,3,Machine,WIND,1500,100
Baby Tiragon,XYZ Monster,1,Dragon,EARTH,900,900
Treeborn Frog,Effect Monster,1,Aqua,WATER,100,100
Raigeki,Spell Card,,Normal,,,
Exodia Necross,Effect Monster,4,Spellcaster,DARK,1800,0
Waboku,Trap Card,,Normal,,,
Digital Bug Scaradiator,XYZ Monster,3,Insect,LIGHT,1800,1400
Radiant Spirit,Effect Monster,7,Reptile,LIGHT,2000,1500
Neo Galaxy-Eyes Cipher Dragon,XYZ Monster,9,Dragon,LIGHT,4500,3000
Advanced Dark,Spell Card,,Field,,,
Ultimate Ancient Gear Golem,Fusion Monster,10,Machine,EARTH,4400,3400
Cyber Network,Trap Card,,Continuous,,,
Ritual Beast Ulti-Pettlephin,Fusion Monster,6,Aqua,WIND,200,2800
Abaki,Effect Monster,4,Fiend,FIRE,1700,1100
Artifact Beagalltach,Effect Monster,5,Fairy,LIGHT,1400,2100
Rainbow Veil,Spell Card,,Equip,,,
Goblin Pothole Squad,Effect Monster,4,Warrior,EARTH,1500,400
Garuda the Wind Spirit,Effect Monster,4,Winged Beast,WIND,1600,1200
Dark Lucius LV6,Effect Monster,6,Fiend,EARTH,1700,600
Kanan the Swordmistress,Normal Monster,4,Warrior,EARTH,1400,1400
Missing Force,Effect Monster,4,Warrior,DARK,1500,1000
Curse of the Circle,Trap Card,,Normal,,,
Flame Dancer,Normal Monster,2,Pyro,FIRE,550,450
Swords of Concealing Light,Spell Card,,Continuous,,,
SZW - Fenrir Sword,Effect Monster,4,Beast,LIGHT,1800,1100
Madolche Lesson,Trap Card,,Normal,,,
Nuvia the Wicked,Effect Monster,4,Fiend,DARK,2000,800
Phantom Skyblaster,Effect Monster,4,Fiend,DARK,1100,800
Des Dendle,Union Effect Monster,4,Plant,EARTH,300,2000
Wicked Plant Token,Token,,Plant,,,
Madolche Mewfeuille,Effect Monster,3,Beast,EARTH,500,300
Boon of the Meklord Emperor,Spell Card,,Normal,,,
Laval the Greater,Synchro Monster,6,Warrior,FIRE,2400,800
Strength of Prophecy,Effect Monster,4,Spellcaster,FIRE,1500,1400
CXyz Comics Hero Legend Arthur,XYZ Monster,5,Warrior,EARTH,3000,2400
Xyz Unit,Spell Card,,Equip,,,
Giant Soldier of Stone,Normal Monster,3,Rock,EARTH,1300,2000
Pre-Preparation of Rites,Spell Card,,Normal,,,
Sword Arm of Dragon,Normal Monster,6,Dinosaur,EARTH,1750,2030
Qliphort Stealth,Pendulum Effect Monster,8,Machine,EARTH,2800,1000
Destiny HERO - Diamond Dude,Effect Monster,4,Warrior,DARK,1400,1600
Gem-Knight Aquamarine,Fusion Monster,6,Aqua,EARTH,1400,2600
Hieratic Seal of the Sun Dragon Overlord,Normal Monster,8,Dragon,LIGHT,0,0
Gagagarush,Trap Card,,Normal,,,
Double Dragon Descent,Trap Card,,Normal,,,
Charcoal Inpachi,Normal Monster,1,Pyro,FIRE,100,2100
Ice Princess Zereort,XYZ Monster,5,Winged Beast,WATER,2500,2100
Dark Plant,Normal Monster,1,Plant,DARK,300,400
Storm,Spell Card,,Normal,,,
Dream Clown,Effect Monster,3,Warrior,EARTH,1200,900
Vylon Charger,Effect Monster,4,Fairy,LIGHT,1000,1000
Fluffal Penguin,Effect Monster,4,Fairy,WATER,1600,1100
Anteatereatingant,Effect Monster,5,Insect,EARTH,2000,500
Evil HERO Wild Cyclone,Fusion Monster,8,Fiend,EARTH,1900,2300
Battlin' Boxer Veil,Effect Monster,4,Warrior,FIRE,0,1800
Deepsea Macrotrema,Effect Monster,1,Fish,WATER,600,100
Boot-Up Soldier - Dread Dynamo,Effect Monster,4,Machine,EARTH,0,2000
Rocket Hand,Trap Card,,Normal,,,
Dragunity Darkspear,Tuner Monster,3,Dragon,WIND,1000,1000
Ghost Knight of Jackal,Effect Monster,5,Beast-Warrior,EARTH,1700,1600
Noble Knight Gwalchavad,Effect Monster,4,Warrior,LIGHT,1500,1800
Desertapir,Flip Effect Monster,3,Beast,EARTH,900,300
Great White,Normal Monster,4,Fish,WATER,1600,800
Blossom Bombardment,Trap Card,,Normal,,,
Dverg of the Nordic Alfar,Effect Monster,1,Warrior,EARTH,100,1000
Cloudian - Storm Dragon,Effect Monster,4,Fairy,WATER,1000,0
Rodenut,Effect Monster,1,Beast,EARTH,100,100
Photon Caesar,Effect Monster,8,Warrior,LIGHT,2000,2800
Gottoms' Emergency Call,Trap Card,,Normal,,,
Castle of Dragon Souls,Trap Card,,Continuous,,,
Stygian Street Patrol,Effect Monster,4,Fiend,DARK,1600,1200
Spirit of Flames,Effect Monster,4,Pyro,FIRE,1700,1000
Invoked Caliga,Fusion Monster,4,Beast,DARK,1000,1800
Dummy Golem,Flip Effect Monster,2,Rock,EARTH,800,800
Turbo Cannon,Synchro Monster,3,Machine,FIRE,0,0
Infernity Randomizer,Effect Monster,1,Warrior,DARK,900,0
Steel Scorpion,Effect Monster,1,Machine,EARTH,250,300
Sage's Stone,Spell Card,,Normal,,,
Majespecter Sonics,Spell Card,,Quick-Play,,,
Malice Dispersion,Spell Card,,Quick-Play,,,
Ninjitsu Art of Shadow Sealing,Trap Card,,Continuous,,,
Heavy Freight Train Derricrane,Effect Monster,10,Machine,EARTH,2800,2000
Abyss Script - Rise of the Abyss King,Spell Card,,Normal,,,
Grand Tiki Elder,Normal Monster,4,Fiend,DARK,1500,800
Thunderclap Skywolf,Effect Monster,7,Thunder,LIGHT,2500,2000
Treaty on Uniform Nomenclature,Trap Card,,Normal,,,
Flare Resonator,Tuner Monster,3,Fiend,FIRE,300,1300
Dark Flare Knight,Fusion Monster,6,Warrior,DARK,2200,800
Man-Eating Treasure Chest,Normal Monster,4,Fiend,DARK,1600,1000
King Dragun,Fusion Monster,7,Dragon,DARK,2400,1100
P.M. Captor,Pendulum Effect Monster,4,Zombie,DARK,1800,0
Flamvell Baby,Tuner Monster,1,Pyro,FIRE,800,200
Chain Resonator,Tuner Monster,1,Fiend,LIGHT,100,100
Mokey Mokey King,Fusion Monster,6,Fairy,LIGHT,300,100
Trap Eater,Tuner Monster,4,Fiend,DARK,1900,1600
Yellow Gadget,Effect Monster,4,Machine,EARTH,1200,1200
Firestorm Prominence,Effect Monster,7,Reptile,FIRE,2000,1500
Satellarknight Rigel,Effect Monster,4,Warrior,LIGHT,1900,700
Neo-Spacian Twinkle Moss,Fusion Monster,4,Plant,LIGHT,500,1100
Spiritual Beast Pettlephin,Effect Monster,4,Aqua,WIND,0,2000
Exodius the Ultimate Forbidden Lord,Effect Monster,10,Spellcaster,DARK,0,0
Granadora,Effect Monster,4,Reptile,WATER,1900,700
Wall of Illusion,Effect Monster,4,Fiend,DARK,1000,1850
Stronghold the Moving Fortress,Trap Card,,Continuous,,,
Moulinglacia the Elemental Lord,Effect Monster,8,Sea Serpent,WATER,2800,2200
Majespecter Storm,Spell Card,,Normal,,,
Denko Sekka,Effect Monster,4,Thunder,LIGHT,1700,1000
Voltic Bicorn,Synchro Monster,7,Beast,LIGHT,2500,2000
Core Compression,Spell Card,,Normal,,,
Madolche Chateau,Spell Card,,Field,,,
Moon Dance Ritual,Trap Card,,Continuous,,,
Ancient One of the Deep Forest,Normal Monster,6,Beast,EARTH,1800,1900
Dragon Knight Draco-Equiste,Fusion Monster,10,Dragon,WIND,3200,2000
Spirit of the Books,Normal Monster,4,Winged Beast,WIND,1400,1200
Laval Judgment Lord,Effect Monster,7,Warrior,FIRE,2700,1800
Multiple Destruction,Trap Card,,Normal,,,
Book of Moon,Spell Card,,Quick-Play,,,
Blue Thunder T-45,Effect Monster,4,Machine,LIGHT,1700,1000
Thunder Option Token,Token,,Machine,,,
Super Soldier Ritual,Spell Card,,Ritual,,,
Great Moth,Effect Monster,8,Insect,EARTH,2600,2500
Norito the Moral Leader,XYZ Monster,6,Spellcaster,LIGHT,2700,2000
Evo-Price,Spell Card,,Continuous,,,
Mushroom Man,Normal Monster,2,Plant,EARTH,800,600
Mystic Piper,Effect Monster,1,Spellcaster,LIGHT,0,0
Shadow Vampire,Effect Monster,5,Zombie,DARK,2000,0
Trance the Magic Swordsman,Normal Monster,6,Spellcaster,EARTH,2600,200
Elemental HERO Mariner,Fusion Monster,5,Warrior,WATER,1400,1000
Rider of the Storm Winds,Tuner Monster,1,Dragon,LIGHT,500,200
Malice Ascendant,Effect Monster,4,Zombie,DARK,700,1000
Gaia Plate the Earth Giant,Effect Monster,8,Rock,EARTH,2800,1000
8-Claws Scorpion,Effect Monster,2,Insect,DARK,300,200
Catapult Zone,Spell Card,,Field,,,
Gradius' Option,Effect Monster,1,Machine,LIGHT,0,0
Shark Caesar,XYZ Monster,3,Fish,WATER,1800,2000
Koa'ki Meiru Overload,Effect Monster,4,Rock,EARTH,1900,1200
Negate Attack,Trap Card,,Counter,,,
Life Absorbing Machine,Trap Card,,Continuous,,,
Token Stampede,Trap Card,,Continuous,,,
Samurai Sword Baron,Effect Monster,4,Warrior,EARTH,1600,1200
Inferno Tempest,Spell Card,,Quick-Play,,,
Archfiend Interceptor,Effect Monster,4,Fiend,DARK,1400,1600
Ice Queen,Effect Monster,8,Spellcaster,WATER,2900,2100
"Gleipnir, the Fetters of Fenrir",Trap Card,,Normal,,,
The Atmosphere,Effect Monster,8,Winged Beast,WIND,1000,800
Gokipon,Effect Monster,2,Insect,EARTH,800,800
DUCKER Mobile Cannon,Flip Effect Monster,3,Machine,LIGHT,500,500
Synchro Material,Trap Card,,Normal,,,
Ritual Beast Tamer Elder,Effect Monster,2,Psychic,WIND,200,1000
Darklord Contact,Spell Card,,Normal,,,
Opticlops,Normal Monster,4,Fiend,DARK,1800,1700
Dark Grepher,Effect Monster,4,Warrior,DARK,1700,1600
Twilight Ninja Shingetsu,Effect Monster,4,Warrior,DARK,1500,100
Infernity Inferno,Trap Card,,Normal,,,
Blue Dragon Ninja,Effect Monster,5,Sea Serpent,WATER,2100,1200
Windwitch - Winter Bell,Synchro Monster,7,Spellcaster,WIND,2400,2000
Morphtronic Mix-up,Trap Card,,Normal,,,
Crimson Ninja,Flip Effect Monster,1,Warrior,EARTH,300,300
Superheavy Samurai Soulhorns,Effect Monster,1,Machine,EARTH,0,300
Summoner of Illusions,Flip Effect Monster,3,Spellcaster,LIGHT,800,900
Tanngnjostr of the Nordic Beasts,Effect Monster,3,Beast,EARTH,800,1100
Cannon Soldier MK-2,Effect Monster,5,Machine,EARTH,1900,1200
Arlownay,Normal Monster,3,Plant,EARTH,800,1000
Ivy Shackles,Trap Card,,Continuous,,,
Unity,Spell Card,,Quick-Play,,,
Draco Face-Off,Spell Card,,Quick-Play,,,
Nekroz Mirror,Spell Card,,Ritual,,,
Noble Arms - Gallatin,Spell Card,,Equip,,,
Superheavy Samurai Thief,Effect Monster,10,Machine,EARTH,1000,1000
Constellar Zubeneschamali,Effect Monster,5,Machine,LIGHT,2100,1400
Solo the Melodious Songstress,Effect Monster,4,Fairy,LIGHT,1600,1000
Shore Knight,Effect Monster,4,Warrior,WATER,1400,1200
Common Soul,Spell Card,,Continuous,,,
The Tricky,Effect Monster,5,Spellcaster,WIND,2000,1200
Blackwing - Zephyros the Elite,Effect Monster,4,Winged Beast,DARK,1600,1000
Infernoid Onuncu,Effect Monster,10,Fiend,FIRE,3000,3000
Risebell the Star Psycher,Effect Monster,4,Psychic,WIND,1500,1500
Shuffle Reborn,Spell Card,,Normal,,,
Spellbook Magician of Prophecy,Effect Monster,2,Spellcaster,WATER,500,400
Jellyfish,Normal Monster,4,Aqua,WATER,1200,1500
Rescue Cat,Effect Monster,4,Beast,EARTH,300,100
"Gaia, the Polar Knight",Effect Monster,4,Warrior,DARK,1600,1200
Typhoon,Trap Card,,Normal,,,
Red Sprinter,Effect Monster,4,Fiend,FIRE,1700,1200
Vorse Raider,Normal Monster,4,Beast-Warrior,DARK,1900,1200
Vorse Raider,Normal Monster,4,Beast-Warrior,DARK,1900,1200
Oafdragon Magician,Pendulum Effect Monster,6,Spellcaster,WIND,2100,1400
Worm Erokin,Effect Monster,6,Reptile,LIGHT,2400,1200
Debris Dragon,Tuner Monster,4,Dragon,WIND,1000,2000
Garoozis,Normal Monster,5,Beast-Warrior,FIRE,1800,1500
Mist Valley Baby Roc,Tuner Monster,2,Winged Beast,WIND,400,600
"Simorgh, Bird of Divinity",Effect Monster,7,Winged Beast,WIND,2700,1000
Andro Sphinx,Effect Monster,10,Beast,LIGHT,3000,2500
Stone Ogre Grotto,Normal Monster,5,Rock,EARTH,1600,1500
Mystical Elf,Normal Monster,4,Spellcaster,LIGHT,800,2000
HTS Psyhemuth,Synchro Monster,6,Psychic,EARTH,2400,1800
The Blazing Mars,Effect Monster,8,Pyro,FIRE,2600,2200
Hurricail,Normal Monster,2,Spellcaster,WIND,900,200
Violet Crystal,Spell Card,,Equip,,,
House of Adhesive Tape,Trap Card,,Normal,,,
Whirlwind Prodigy,Effect Monster,4,Fairy,WIND,1500,1600
Self-Mummification,Spell Card,,Quick-Play,,,
Dragonpulse Magician,Pendulum Normal Monster,4,Spellcaster,EARTH,1800,900
White Magical Hat,Effect Monster,3,Spellcaster,LIGHT,1000,700
Archfiend Mirror,Normal Monster,2,Fiend,DARK,700,600
Destruction Sword Flash,Trap Card,,Normal,,,
Laval Forest Sprite,Tuner Monster,2,Pyro,FIRE,300,200
Silent Swordsman,Effect Monster,4,Warrior,LIGHT,1000,1000
Earthbound Immortal Uru,Effect Monster,10,Insect,DARK,3000,3000
Empress Judge,Fusion Monster,6,Warrior,EARTH,2100,1700
Mist Bird Clausolas,Synchro Monster,3,Winged Beast,WIND,0,2300
Pop-Up,Spell Card,,Quick-Play,,,
Toon World,Spell Card,,Continuous,,,
Toon World,Spell Card,,Continuous,,,
Toon Goblin Attack Force,Toon Monster,4,Warrior,EARTH,2300,0
Nordic Relic Gungnir,Trap Card,,Normal,,,
Destiny Mirage,Trap Card,,Normal,,,
Ryu-Kishin,Normal Monster,3,Fiend,DARK,1000,500
Creature Seizure,Spell Card,,Normal,,,
Unknown Synchron,Tuner Monster,1,Machine,DARK,0,0
Infernity Reflector,Trap Card,,Normal,,,
B.E.S. Covered Core,Effect Monster,7,Machine,EARTH,2500,800
Mecha Phantom Beast Sabre Hawk,Effect Monster,4,Machine,WIND,2100,100
Dandylion,Effect Monster,3,Plant,EARTH,300,300
Fluff Token,Token,,Plant,,,
Fluff Token,Token,,Plant,,,
Gokibore,Normal Monster,4,Insect,EARTH,1200,1400
Berserker Soul,Spell Card,,Quick-Play,,,
Swarm of Scarabs,Effect Monster,3,Insect,DARK,500,1000
Tanngrisnir of the Nordic Beasts,Effect Monster,3,Beast,EARTH,1200,800
Nordic Beast Token,Token,,Beast,,,
Kagemusha of the Blue Flame,Normal Monster,2,Warrior,EARTH,800,400
Performapal Sword Fish,Effect Monster,2,Fish,WATER,600,600
Starship Spy Plane,Effect Monster,4,Machine,WIND,1100,500
Berserker Crush,Spell Card,,Quick-Play,,,
Alien Dog,Effect Monster,3,Reptile,LIGHT,1500,1000
Armored Lizard,Normal Monster,4,Reptile,EARTH,1500,1200
Superheavy Samurai Prepped Defense,Effect Monster,3,Machine,EARTH,100,2100
Gamma The Electromagnet Warrior,Effect Monster,3,Rock,EARTH,800,2000
Sectarian of Secrets,Normal Monster,2,Spellcaster,DARK,700,500
Thunder Kid,Normal Monster,2,Thunder,WIND,700,600
Morphtronic Smartfon,Tuner Monster,1,Machine,EARTH,100,100
Granmarg the Mega Monarch,Effect Monster,8,Rock,EARTH,2800,1000
Half or Nothing,Trap Card,,Normal,,,
Hi-Speed Re-Level,Spell Card,,Normal,,,
Gauntlet Launcher,XYZ Monster,6,Warrior,EARTH,2400,2800
D.D. Jet Iron,Effect Monster,10,Machine,LIGHT,4000,0
Resonator Engine,Spell Card,,Normal,,,
Echo Oscillation,Trap Card,,Continuous,,,
Disciple of the Forbidden Spell,Effect Monster,4,Warrior,LIGHT,1700,800
Genex Solar,Effect Monster,7,Machine,LIGHT,2500,1500
Shock Surprise,Spell Card,,Normal,,,
Vijam the Cubic Seed,Effect Monster,1,Fiend,DARK,0,0
Battle Waltz,Spell Card,,Normal,,,
Waltz Token,Token,,Warrior,,,
Skull Knight 2,Effect Monster,3,Fiend,DARK,1000,1200
Worm Barses,Effect Monster,3,Reptile,LIGHT,1400,1500
"Latinum, Exarch of Dark World",Effect Monster,6,Fiend,DARK,1500,2400
Evil Blast,Trap Card,,Normal,,,
The Light - Hex-Sealed Fusion,Effect Monster,3,Rock,LIGHT,1000,1600
Soul Tiger,Normal Monster,4,Beast,EARTH,0,2100
Knight Day Grepher,Gemini Monster,4,Warrior,LIGHT,1700,1600
Mind Crush,Trap Card,,Normal,,,
Monsturtle,Normal Monster,3,Aqua,WATER,800,1000
Synchro Fusionist,Effect Monster,2,Spellcaster,DARK,800,600
Divine Wind of Mist Valley,Spell Card,,Field,,,
Spiritualism,Spell Card,,Normal,,,
Constellar Aldebaran,Effect Monster,3,Beast-Warrior,LIGHT,1300,800
Snowman Creator,Effect Monster,4,Machine,WATER,1600,1000
Ultimate Tyranno,Effect Monster,8,Dinosaur,EARTH,3000,2200
Mechquipped Angineer,XYZ Monster,3,Fairy,LIGHT,1800,1000
Storm Caller,Effect Monster,6,Psychic,WIND,2300,2000
Pandora's Jewelry Box,Pendulum Effect Monster,4,Wyrm,DARK,1500,1500
Shield Worm,Effect Monster,4,Insect,EARTH,800,2000
Chronomaly Crystal Bones,Effect Monster,3,Rock,LIGHT,1300,400
Amazoness Queen,Effect Monster,6,Warrior,EARTH,2400,1800
Mirage Dragon,Effect Monster,4,Dragon,LIGHT,1600,600
Performapal Secondonkey,Effect Monster,4,Beast,EARTH,1000,2000
Carboneddon,Effect Monster,3,Dinosaur,EARTH,800,600
Reptilianne Servant,Effect Monster,1,Reptile,DARK,100,100
Canon the Melodious Diva,Effect Monster,4,Fairy,LIGHT,1400,2000
